GeneID,Hwang_D01,Hwang_D02,Hwang_D03,Hwang_D04,Hwang_D05,Hwang_D06,Hwang_D07,Hwang_D08,Hwang_D09,Hwang_N01,Hwang_N02,Hwang_N03,Hwang_N04,Hwang_N05,Hwang_N06,Hwang_N07,Hwang_N08,Hwang_N09,Hwang_N10,Hwang_N11,Hwang_N12,Hye_01,Hye_02,Hye_03,Hye_04,Hye_05,Hye_06,Hye_07,Hye_08,Hye_09,Hye_10,Hye_11,Hye_12,Hye_15,Hye_16,Hye_17,Hye_18,Prat_A7,Prat_A8,Prat_A10,Prat_A12,Prat_A14,Prat_A16,Prat_A18,Prat_A19,Prat_A20,Prat_A21,Prat_A22,Prat_A23,Prat_A24,Prat_A25,Prat_A27,Prat_A28,Prat_A29,Prat_A30,Prat_A31,Prat_A32,Prat_A33,Prat_A35,Prat_A37,Prat_A38,Prat_A39
962,2833,882,725,1203,163,1761,734,4808,4760,1343,524,1517,297,1340,593,1645,142,96,106,104,194,32,389,80,427,348,267,977,31,249,855,170,139,1064,62,744,72,231,60,166,131,122,231,57,259,166,63,149,266,106,91,93,150,128,261,184,107,95,870,27,81,137
963,1281,478,33,31,0,266,134,170,2054,79,121,0,0,385,333,100,16,17,10,2,1,239,2168,204,9135,1386,1360,4100,228,1144,5983,578,1067,6873,584,2869,671,1303,483,1417,432,843,2525,1051,1501,873,1343,2140,1167,823,1064,660,663,933,1152,1045,715,610,2448,115,368,1810
9636,30084,21511,4355,5042,31976,11149,3041,10258,3323,22017,190819,7870,24193,13647,9519,3883,726,1464,2984,1754,2331,52,43,380,76,57,132,33,245,243,269,29,1232,140,248,104,240,3239,420,631,104,557,453,1889,462,196,935,2651,1722,378,268,608,224,1008,872,357,1564,607,1826,590,354,1739
967,75387,39189,17774,38385,79936,45318,39621,195325,74866,39676,59475,69194,39818,82652,84720,28250,15262,24916,34985,16007,23378,8215,8734,4600,12155,4681,7369,24210,8349,4303,8377,4822,6719,14857,14339,12606,5604,7186,11611,4829,1633,3911,10542,13086,12729,11990,8860,18855,9869,13087,9283,621,11239,8395,3954,7435,6055,4893,9507,3819,7134,8014
968,5233,6592,1456,2991,6220,10811,2378,25870,4989,6175,16386,11935,2888,4179,6016,2296,2511,2011,2415,3063,2834,1316,12802,1151,33930,1448,3022,16899,939,1489,9261,3894,5402,23110,3612,3711,1329,1058,431,1432,184,670,2334,1032,946,766,2159,3943,1122,1082,1623,259,1067,984,891,627,802,774,1251,343,861,1889
970,570,118,224,105,148,277,41,296,0,946,1174,18,0,179,510,71,25,240,6,6,75,2,15,21,11,6,17,6,13,14,19,62,15,30,41,16,6,31,12,103,6,20,51,35,22,18,27,49,27,26,48,13,39,36,41,23,25,37,46,10,24,73
972,9891,9261,4310,9134,3762,14676,9399,28105,11367,6992,28429,20446,1123,8131,8947,3456,1651,494,1602,1862,3815,1589,27320,2773,94763,13940,11215,58968,2538,5843,13265,5009,11004,45579,22023,46986,9066,16949,5608,33546,4417,7070,22883,7505,21865,17759,12621,34761,16219,27552,17575,1725,14338,6906,14700,13901,5538,3399,94394,2315,5178,18089
973,6580,3930,262,398,38,5820,510,2089,12371,3197,7922,191,341,7266,4887,1476,392,398,48,25,29,28,841,43,21,641,206,175,2,415,326,25,33,1615,30,1294,7,299,174,162,198,183,758,66,663,615,69,146,455,357,94,77,440,251,728,265,142,71,985,109,210,93
974,3806,992,208,316,116,819,163,2312,4772,705,1461,169,230,872,667,679,104,52,38,41,158,45,163,105,44,364,121,112,10,289,377,56,34,395,42,742,77,132,78,86,52,68,344,40,389,133,57,98,235,169,62,57,136,80,245,144,51,58,951,69,61,56
983,1914,2373,1125,583,5360,2099,896,37989,814,1152,1490,4378,352,1318,17788,605,8861,5298,1913,855,3569,1704,762,1534,106,69,785,184,275,690,264,896,586,340,496,180,955,573,399,365,71,217,187,1841,499,226,250,1400,1715,297,114,241,1032,3827,884,290,550,2332,224,726,1043,412
